Caravel memory map vs. SPI register map
----------------------------------------------------------------------------------
SPI register   description     signal			     memory map address
----------------------------------------------------------------------------------
 00	SPI status (reserved)  (undefined)                   2610_0000
 01	Manufacturer ID (high) mfgr_id[11:8]                 2610_0006
 02	Manufacturer ID (low)  mfgr_id[7:0]	             2610_0005
 03	Product ID	       prod_id[7:0]                  2610_0004
 04	User project ID	       mask_rev[31:24]               2610_000b
 05	User project ID	       mask_rev[23:16]               2610_000a
 06	User project ID	       mask_rev[15:8]                2610_0009
 07	User project ID	       mask_rev[7:0]                 2610_0008
 08	CPU trap state	       trap                 	     2610_000c

 09	Power monitor	       usr1/2_vcc/vdd_pwrgood	     2620_0000
 0a	Output redirect	       clk1/clk2/trap_output_dest    2620_0004
 0b	Input redirect	       irq_8/7_inputsrc		     2620_000c

 0c     GPIO[0] configure      gpio_configure[0][12:8]       2600_0025
 0d     GPIO[0] configure      gpio_configure[0][7:0]	     2600_0024
 0e     GPIO[1] configure      gpio_configure[1][12:8]       2600_0029
 0f     GPIO[1] configure      gpio_configure[1][7:0]        2600_0028
 10     GPIO[2] configure      gpio_configure[2][12:8]       2600_002d
 11     GPIO[2] configure      gpio_configure[2][7:0]        2600_002c
 12     GPIO[3] configure      gpio_configure[3][12:8]       2600_0031
 13     GPIO[3] configure      gpio_configure[3][7:0]        2600_0030
 14     GPIO[4] configure      gpio_configure[4][12:8]       2600_0035
 15     GPIO[4] configure      gpio_configure[4][7:0]        2600_0034
 16     GPIO[5] configure      gpio_configure[5][12:8]       2600_0039
 17     GPIO[5] configure      gpio_configure[5][7:0]        2600_0038
 18     GPIO[6] configure      gpio_configure[6][12:8]       2600_003d
 19     GPIO[6] configure      gpio_configure[6][7:0]        2600_003c
 1a     GPIO[7] configure      gpio_configure[7][12:8]       2600_0041
 1b     GPIO[7] configure      gpio_configure[7][7:0]        2600_0040
 1c     GPIO[8] configure      gpio_configure[8][12:8]       2600_0045
 1d     GPIO[8] configure      gpio_configure[8][7:0]        2600_0044
 1e     GPIO[9] configure      gpio_configure[9][12:8]       2600_0049
 1f     GPIO[9] configure      gpio_configure[9][7:0]        2600_0048
 20     GPIO[10] configure     gpio_configure[10][12:8]      2600_004d
 21     GPIO[10] configure     gpio_configure[10][7:0]       2600_004c
 22	GPIO[11] configure     gpio_configure[11][12:8]      2600_0051
 23	GPIO[11] configure     gpio_configure[11][7:0]       2600_0050
 24	GPIO[12] configure     gpio_configure[12][12:8]      2600_0055
 25	GPIO[12] configure     gpio_configure[12][7:0]       2600_0054
 26	GPIO[13] configure     gpio_configure[13][12:8]      2600_0059
 27	GPIO[13] configure     gpio_configure[13][7:0]       2600_0058
 28	GPIO[14] configure     gpio_configure[14][12:8]      2600_005d
 29	GPIO[14] configure     gpio_configure[14][7:0]       2600_005c
 2a	GPIO[15] configure     gpio_configure[15][12:8]      2600_0061
 2b	GPIO[15] configure     gpio_configure[15][7:0]       2600_0060
 2c	GPIO[16] configure     gpio_configure[16][12:8]      2600_0065
 2d	GPIO[16] configure     gpio_configure[16][7:0]       2600_0064
 2e	GPIO[17] configure     gpio_configure[17][12:8]      2600_0069
 2f	GPIO[17] configure     gpio_configure[17][7:0]       2600_0068
 30	GPIO[18] configure     gpio_configure[18][12:8]      2600_006d
 31	GPIO[18] configure     gpio_configure[18][7:0]       2600_006c
 32	GPIO[19] configure     gpio_configure[19][12:8]      2600_0071
 33	GPIO[19] configure     gpio_configure[19][7:0]       2600_0070
 34	GPIO[20] configure     gpio_configure[20][12:8]      2600_0075
 35	GPIO[20] configure     gpio_configure[20][7:0]       2600_0074
 36	GPIO[21] configure     gpio_configure[21][12:8]      2600_0079
 37	GPIO[21] configure     gpio_configure[21][7:0]       2600_0078
 38	GPIO[22] configure     gpio_configure[22][12:8]      2600_007d
 39	GPIO[22] configure     gpio_configure[22][7:0]       2600_007c
 3a	GPIO[23] configure     gpio_configure[23][12:8]      2600_0081
 3b	GPIO[23] configure     gpio_configure[23][7:0]       2600_0080
 3c	GPIO[24] configure     gpio_configure[24][12:8]      2600_0085
 3d	GPIO[24] configure     gpio_configure[24][7:0]       2600_0084
 3e	GPIO[25] configure     gpio_configure[25][12:8]      2600_0089
 3f	GPIO[25] configure     gpio_configure[25][7:0]       2600_0088
 40	GPIO[26] configure     gpio_configure[26][12:8]      2600_008d
 41	GPIO[26] configure     gpio_configure[26][7:0]       2600_008c
 42	GPIO[27] configure     gpio_configure[27][12:8]      2600_0091
 43	GPIO[27] configure     gpio_configure[27][7:0]       2600_0090
 44	GPIO[28] configure     gpio_configure[28][12:8]      2600_0095
