net,length_um
net1866,5292.84
net2473,5183.78
net1869,5042.22
mgmt_buffers.mprj_logic1\[329\],4269.9
mgmt_buffers.mprj_logic1\[174\],4198.12
mgmt_buffers.mprj_logic1\[302\],4150.88
mgmt_buffers.mprj_logic1\[179\],4150.41
mgmt_buffers.mprj_logic1\[303\],3985.925
mgmt_buffers.mprj_logic1\[316\],3935.56
mgmt_buffers.mprj_logic1\[326\],3928.98
net2481,3891.71
mgmt_buffers.mprj_logic1\[175\],3882.035
mgmt_buffers.mprj_logic1\[324\],3840.84
mgmt_buffers.mprj_logic1\[313\],3811.955
mgmt_buffers.mprj_logic1\[182\],3803.48
mgmt_buffers.mprj_logic1\[194\],3803.035
mgmt_buffers.mprj_logic1\[299\],3763.02
mgmt_buffers.mprj_logic1\[304\],3757.96
mgmt_buffers.mprj_logic1\[295\],3750.22
mgmt_buffers.mprj_logic1\[314\],3744.14
mgmt_buffers.mprj_logic1\[181\],3693.06
mgmt_buffers.mprj_logic1\[186\],3663.22
net2562,3653.86
net2545,3637.36
mgmt_buffers.mprj_logic1\[306\],3585.74
mgmt_buffers.mprj_logic1\[187\],3559.16
mgmt_buffers.mprj_logic1\[176\],3469.14
mgmt_buffers.mprj_logic1\[199\],3408.56
mgmt_buffers.mprj_logic1\[183\],3307.02
mgmt_buffers.mprj_logic1\[323\],3220.08
mgmt_buffers.mprj2_vdd_logic1,3203.78
mgmt_buffers.mprj_vdd_logic1,3202.27
net11193,2967.51
net2552,2705.84
net2544,2644.06
mgmt_buffers.mprj_logic1\[160\],2525.34
net9002,2505.81
mgmt_buffers.mprj_logic1\[161\],2482.22
soc.core.la_out_storage\[32\],2441.14
net2476,2432.33
_04862_,2393.61
net2118,2390.9
net2558,2382.92
soc.core.la_out_storage\[33\],2361.24
net13037,2312.58
mgmt_buffers.mprj_logic1\[158\],2289.06
mgmt_buffers.mprj_logic1\[151\],2280.97
mgmt_buffers.mprj_logic1\[157\],2269.925
mgmt_buffers.mprj_logic1\[159\],2257.91
mgmt_buffers.mprj_logic1\[154\],2234.645
net1763,2222.5
mgmt_buffers.mprj_logic1\[148\],2161.21
net2577,2098.52
net1858,2058.08
net400,2033.44
mgmt_buffers.mprj_logic1\[198\],2026.3
mgmt_buffers.mprj_logic1\[156\],2015.55
mgmt_buffers.mprj_logic1\[327\],2011.6
net2553,1987.16
soc.core.la_oe_storage\[38\],1985.95
net2486,1972.08
mgmt_buffers.mprj_logic1\[177\],1940.895
net2572,1937.37
mgmt_buffers.mprj_logic1\[291\],1933.25
mgmt_buffers.mprj_logic1\[325\],1928.58
mgmt_buffers.mprj_logic1\[293\],1926.04
net12992,1898.88
soc.core.la_out_storage\[10\],1887.85
mgmt_buffers.mprj_logic1\[162\],1879.16
net405,1870.88
mgmt_buffers.mprj_logic1\[328\],1865.22
soc.core.la_oe_storage\[14\],1861.99
net1854,1835.36
mgmt_buffers.mprj_logic1\[310\],1828.64
mgmt_buffers.mprj_logic1\[166\],1818.28
mgmt_buffers.mprj_logic1\[168\],1810.815
mgmt_buffers.mprj_logic1\[144\],1810.59
net2104,1803.49
mgmt_buffers.mprj_logic1\[321\],1793.79
net10319,1768.21
mgmt_buffers.mprj_logic1\[169\],1763.1
mgmt_buffers.mprj_logic1\[201\],1757.66
mgmt_buffers.mprj_logic1\[188\],1757.54
soc.core.dff2_we\[2\],1754.21
mgmt_buffers.mprj_logic1\[170\],1735.21
mgmt_buffers.mprj_logic1\[320\],1730.975
mgmt_buffers.mprj_logic1\[233\],1725.08
mgmt_buffers.mprj_logic1\[165\],1722.45
mgmt_buffers.mprj_logic1\[131\],1717.08
mgmt_buffers.mprj_logic1\[196\],1715.645
mgmt_buffers.mprj_logic1\[297\],1713.08
mgmt_buffers.mprj_logic1\[288\],1698.53
mgmt_buffers.mprj_logic1\[298\],1696.065
soc.core.dff2_we\[1\],1684.22
mgmt_buffers.mprj_logic1\[171\],1681.375
mgmt_buffers.mprj_logic1\[294\],1681.03
soc.core.la_out_storage\[12\],1680.47
net10750,1680.215
mgmt_buffers.mprj_logic1\[172\],1672.13
net1850,1666.395
mgmt_buffers.mprj_logic1\[197\],1659.52
soc.core.la_oe_storage\[30\],1650.38
soc.core.la_oe_storage\[3\],1649.93
soc.core.dff2_we\[0\],1646.95
mgmt_buffers.mprj_logic1\[284\],1642.98
soc.core.la_oe_storage\[33\],1624.24
mgmt_buffers.mprj_logic1\[305\],1607.69
mgmt_buffers.mprj_logic1\[167\],1607.045
soc.core.la_oe_storage\[32\],1593.08
mgmt_buffers.mprj_logic1\[380\],1587.86
mgmt_buffers.mprj_logic1\[296\],1587.1
soc.core.la_oe_storage\[39\],1581.24
soc.core.multiregimpl35_regs1,1580.8
