Metric,Value
design__instance__count,47420
design__instance__area,12590500
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 3165.0 4767.0
design__core__bbox,10.12 10.88 3154.68 4754.56
design__io,633
design__die__area,15087600
design__core__area,14916800
design__instance__count__stdcell,47326
design__instance__area__stdcell,141326
design__instance__count__macros,94
design__instance__area__macros,12449200
design__instance__utilization,0.844051
design__instance__utilization__stdcell,0.0572728
design__power_grid_violation__count__net:vccd1,10
design__power_grid_violation__count__net:vssd1,12
design__power_grid_violation__count__net:vssio,143
design__power_grid_violation__count__net:vccd,53152
design__power_grid_violation__count__net:vdda1,804
design__power_grid_violation__count__net:vssa2,860
design__power_grid_violation__count__net:vssd2,800
design__power_grid_violation__count__net:vdda2,804
design__power_grid_violation__count__net:vddio,143
design__power_grid_violation__count__net:vssd,1249
design__power_grid_violation__count__net:vccd2,804
design__power_grid_violation__count__net:vssa1,828
design__power_grid_violation__count,59609
timing__drv__floating__nets,34
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1617690
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,98
antenna__violating__pins,98
route__antenna_violation__count,98
route__net,7904
route__net__special,12
route__drc_errors__iter:1,9400
route__wirelength__iter:1,1674839
route__drc_errors__iter:2,4061
route__wirelength__iter:2,1673179
route__drc_errors__iter:3,3333
route__wirelength__iter:3,1672916
route__drc_errors__iter:4,1150
route__wirelength__iter:4,1675079
route__drc_errors__iter:5,670
route__wirelength__iter:5,1675159
route__drc_errors__iter:6,375
route__wirelength__iter:6,1675000
route__drc_errors__iter:7,210
route__wirelength__iter:7,1674925
route__drc_errors__iter:8,199
route__wirelength__iter:8,1674923
route__drc_errors__iter:9,199
route__wirelength__iter:9,1674923
route__drc_errors__iter:10,198
route__wirelength__iter:10,1674922
route__drc_errors__iter:11,22
route__wirelength__iter:11,1674959
route__drc_errors__iter:12,1
route__wirelength__iter:12,1674999
route__drc_errors__iter:13,0
route__wirelength__iter:13,1674999
route__drc_errors,0
route__wirelength,1674999
route__vias,63530
route__vias__singlecut,63530
