Metric,Value
timing__setup__ws__corner:nom_tt_025C_1v80,1.624232
timing__hold__ws__corner:nom_tt_025C_1v80,0.274621
design__instance__area,3221.84
design__instance__count,520
design__instance__total_power,1.3465
design__die__bbox,0.0 0.0 100.0 75.0
design__core__bbox,5.52 5.44 94.3 68.0
design__io,39
design__die__area,7500
design__core__area,5554.08
design__instance__count__stdcell,520
design__instance__area__stdcell,3221.84
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.580086
design__instance__utilization__stdcell,0.580086
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,6909.71
design__violations,0
antenna__violating__nets,0
antenna__violating__pins,0
antenna__count,0
route__net,394
route__net__special,2
route__drc_errors__iter:1,168
route__wirelength__iter:1,7682
route__drc_errors__iter:2,55
route__wirelength__iter:2,7648
route__drc_errors__iter:3,123
route__wirelength__iter:3,7652
route__drc_errors__iter:4,1
route__wirelength__iter:4,7689
route__drc_errors__iter:5,0
route__wirelength__iter:5,7689
route__drc_errors,0
route__wirelength,7689
route__vias,2382
route__vias__singlecut,2382
route__vias__multicut,0
design__disconnected_pins__count,0
route__wirelength__max,252.91
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006281010573729873
power__switching__total,0.0010574385523796082
power__leakage__total,3.840616269457087e-09
power__total,0.0016855434514582157
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.026419
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.026648
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.026351
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.026574
timing__hold__ws__corner:nom_ss_100C_1v60,0.67865
timing__setup__ws__corner:nom_ss_100C_1v60,-2.045736
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-9.303928
timing__hold__wns__corner:nom_ss_100C_1v60,0.0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.045736
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,8
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,7
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
